supertype,display_id,n_ABCA1,n_ABCA2,top_measured_markers,top_marker_min_specimen_fraction_ge2,nearest_published_query_label,query_identity_discovery_r,query_identity_validation_rank,functional_status,display_selection
0399 SI-MPO-LPO Lhx8 Gaba_4,ST0399,75,36,Sntg2;Gabre;Esr1,0.1066666666666666,,,,MARKER_ENRICHED_TYPE_CANDIDATE; NOT_CAUSALLY_CONFIRMED,"Top-two-per-marker union, >=20 author neurons each specimen; complete unscreened types retained in model background and result tables."
0404 MPO-ADP Lhx8 Gaba_3,ST0404,146,100,Gabre;Gal;Lepr,0.1438356164383561,,,,MARKER_ENRICHED_TYPE_CANDIDATE; NOT_CAUSALLY_CONFIRMED,"Top-two-per-marker union, >=20 author neurons each specimen; complete unscreened types retained in model background and result tables."
0411 PVR Six3 Sox3 Gaba_1,ST0411,147,85,Gabre;Ptger3;Gal,0.4823529411764706,h12 Onecut2/Arhgap6,0.7766572673604152,1.0,MARKER_ENRICHED_TYPE_CANDIDATE; NOT_CAUSALLY_CONFIRMED,"Top-two-per-marker union, >=20 author neurons each specimen; complete unscreened types retained in model background and result tables."
0482 PVpo-VMPO-MPN Hmx2 Gaba_1,ST0482,419,83,Gal;Gabre;Esr1,0.6024096385542169,i15 Gal,0.7701535274956827,1.0,MARKER_ENRICHED_TYPE_CANDIDATE; NOT_CAUSALLY_CONFIRMED,"Top-two-per-marker union, >=20 author neurons each specimen; complete unscreened types retained in model background and result tables."
0483 PVpo-VMPO-MPN Hmx2 Gaba_2,ST0483,555,174,Gal;Esr1;Gabre,0.4036036036036036,i34 Esr1/Nts,0.3198353963670071,1.0,MARKER_ENRICHED_TYPE_CANDIDATE; NOT_CAUSALLY_CONFIRMED,"Top-two-per-marker union, >=20 author neurons each specimen; complete unscreened types retained in model background and result tables."
0484 PVpo-VMPO-MPN Hmx2 Gaba_3,ST0484,170,70,Gal;Gabre;Adcyap1,0.9058823529411764,,,,MARKER_ENRICHED_TYPE_CANDIDATE; NOT_CAUSALLY_CONFIRMED,"Top-two-per-marker union, >=20 author neurons each specimen; complete unscreened types retained in model background and result tables."
0519 AVPV-MEPO-SFO Tbr1 Glut_1,ST0519,98,22,Bdnf;Gabre;Samd3,0.2857142857142857,e27 Trhr,0.8094528084971279,1.0,MARKER_ENRICHED_TYPE_CANDIDATE; NOT_CAUSALLY_CONFIRMED,"Top-two-per-marker union, >=20 author neurons each specimen; complete unscreened types retained in model background and result tables."
0520 AVPV-MEPO-SFO Tbr1 Glut_2,ST0520,360,158,Ptger3;Gabre;Adcyap1,0.4683544303797468,e10 Adcyap1/Opn5,0.8104235320731649,1.0,MARKER_ENRICHED_TYPE_CANDIDATE; NOT_CAUSALLY_CONFIRMED,"Top-two-per-marker union, >=20 author neurons each specimen; complete unscreened types retained in model background and result tables."
0521 AVPV-MEPO-SFO Tbr1 Glut_3,ST0521,84,45,Gabre;Adcyap1;Samd3,0.4666666666666667,e16 Adcyap1/Otx2os1,0.8236999329066557,1.0,MARKER_ENRICHED_TYPE_CANDIDATE; NOT_CAUSALLY_CONFIRMED,"Top-two-per-marker union, >=20 author neurons each specimen; complete unscreened types retained in model background and result tables."
0522 AVPV-MEPO-SFO Tbr1 Glut_4,ST0522,258,100,Gabre;Samd3;Adcyap1,0.48,e5 Adcyap1/Sntg2,0.8349503332876688,1.0,MARKER_ENRICHED_TYPE_CANDIDATE; NOT_CAUSALLY_CONFIRMED,"Top-two-per-marker union, >=20 author neurons each specimen; complete unscreened types retained in model background and result tables."
0546 MPN-MPO-PVpo Hmx2 Glut_1,ST0546,144,36,Adcyap1;Gabre;Bdnf,0.6388888888888888,,,,MARKER_ENRICHED_TYPE_CANDIDATE; NOT_CAUSALLY_CONFIRMED,"Top-two-per-marker union, >=20 author neurons each specimen; complete unscreened types retained in model background and result tables."
0548 MPN-MPO-PVpo Hmx2 Glut_3,ST0548,152,20,Esr1;Gal;Adcyap1,0.5,,,,MARKER_ENRICHED_TYPE_CANDIDATE; NOT_CAUSALLY_CONFIRMED,"Top-two-per-marker union, >=20 author neurons each specimen; complete unscreened types retained in model background and result tables."
