key,layer,full,POA,official_coverage
ALL_ST,legacy,4759,24,207
ADCYAP1_SLC17A6,full,15133,0,1926
ADCYAP1_SLC17A6,direct1,219443,57,4796
ADCYAP1_SLC17A6,direct2,136202,48,3141
ADCYAP1_SLC17A6,direct3,97766,40,2509
ADCYAP1_BDNF,full,1878,0,82
ADCYAP1,full,18038,0,1990
ADCYAP1,direct1,385826,88,17424
ADCYAP1,direct2,272820,69,7121
ADCYAP1,direct3,222721,55,5345
BDNF,full,2604,0,382
TRPM2_SLC32A1,full,24204,0,2444
SAMD3,full,7560,13,1733
ST0399,legacy,396,20,123
ST0404,legacy,177,2,13
ST0411,legacy,251,0,7
ST0482,legacy,439,0,3
ST0483,legacy,163,0,10
ST0484,legacy,631,1,4
ST0519,legacy,54,0,7
ST0520,legacy,634,0,11
ST0521,legacy,1343,0,14
ST0522,legacy,83,0,1
ST0546,legacy,198,1,4
ST0548,legacy,390,0,10
