label,gene,n,n_ge1,n_ge2,sum_counts,region,fraction_ge2
120,CALB1,132461,104578,92718,1249654,Ca,0.6999645178580866
120,CALB2,132461,19818,9341,104763,Ca,0.07051886970504526
120,DRD1,132461,101006,86238,2670530,Ca,0.6510444583688784
120,DRD2,132461,85766,67293,1012405,Ca,0.5080212288900129
120,GAD2,132461,128293,123243,1561378,Ca,0.9304097054982221
120,LHX6,132461,18611,9972,118285,Ca,0.07528253599172587
120,PPP1R1B,132461,129886,127436,6065028,Ca,0.9620643057201742
120,SLC17A6,132461,2190,97,2344,Ca,0.0007322910139588256
120,TAC1,132461,108050,96343,3552461,Ca,0.7273310634828365
124,CALB1,117476,96299,86909,1208481,Pu,0.7398021723586095
124,CALB2,117476,15559,6393,77422,Pu,0.054419626136402326
124,DRD1,117476,89533,76445,2370043,Pu,0.6507286594708707
124,DRD2,117476,77646,60680,987016,Pu,0.516531036126528
124,GAD2,117476,113523,109172,1381086,Pu,0.9293132214239505
124,LHX6,117476,13616,6163,84405,Pu,0.052461779427287275
124,PPP1R1B,117476,115559,113864,5633543,Pu,0.9692532942898975
124,SLC17A6,117476,2113,248,3008,Pu,0.0021110694950457966
124,TAC1,117476,98691,89301,3147380,Pu,0.760163778133406
132,CALB1,23074,17926,16275,221227,GPe,0.7053393429834446
132,CALB2,23074,3630,1821,36717,GPe,0.07891999653289417
132,DRD1,23074,16182,13550,377582,GPe,0.5872410505330675
132,DRD2,23074,14658,11388,177233,GPe,0.49354251538528215
132,GAD2,23074,22234,21257,290354,GPe,0.9212533587587761
132,LHX6,23074,3803,2336,26917,GPe,0.1012394903354425
132,PPP1R1B,23074,21905,20973,892270,GPe,0.9089451330501863
132,SLC17A6,23074,535,47,999,GPe,0.0020369246771257694
132,TAC1,23074,17900,16073,581669,GPe,0.6965849007540955
133,CALB1,1598,322,182,8329,GPi,0.11389236545682102
133,CALB2,1598,971,744,17360,GPi,0.4655819774718398
133,DRD1,1598,534,262,1666,GPi,0.1639549436795995
133,DRD2,1598,878,640,3940,GPi,0.4005006257822278
133,GAD2,1598,1486,1438,47764,GPi,0.899874843554443
133,LHX6,1598,701,486,4843,GPi,0.3041301627033792
133,PPP1R1B,1598,911,484,2098,GPi,0.30287859824780977
133,SLC17A6,1598,314,241,4402,GPi,0.15081351689612016
133,TAC1,1598,204,55,775,GPi,0.0344180225281602
200,CALB1,404,210,160,1331,HTHpo,0.39603960396039606
200,CALB2,404,267,214,2941,HTHpo,0.5297029702970297
200,DRD1,404,78,24,140,HTHpo,0.0594059405940594
200,DRD2,404,116,63,325,HTHpo,0.15594059405940594
200,GAD2,404,312,287,4737,HTHpo,0.7103960396039604
200,LHX6,404,152,121,981,HTHpo,0.2995049504950495
200,PPP1R1B,404,154,40,210,HTHpo,0.09900990099009901
200,SLC17A6,404,133,102,858,HTHpo,0.2524752475247525
200,TAC1,404,99,76,829,HTHpo,0.18811881188118812
994,CALB1,908,385,271,2283,CoA,0.29845814977973567
994,CALB2,908,377,261,6824,CoA,0.28744493392070486
994,DRD1,908,596,489,11014,CoA,0.538546255506608
994,DRD2,908,207,97,658,CoA,0.10682819383259912
994,GAD2,908,861,830,18069,CoA,0.9140969162995595
994,LHX6,908,321,249,3019,CoA,0.27422907488986786
994,PPP1R1B,908,698,559,12486,CoA,0.6156387665198237
994,SLC17A6,908,68,42,623,CoA,0.046255506607929514
994,TAC1,908,467,407,12874,CoA,0.44823788546255505
