gene,threshold_counts,supertype,ABCA1_n,ABCA2_n,ABCA1_detected,ABCA2_detected,ABCA1_fraction,ABCA2_fraction,min_specimen_fraction
Adcyap1,2,0546 MPN-MPO-PVpo Hmx2 Glut_1,144,36,94,23,0.6527777777777778,0.6388888888888888,0.6388888888888888
Adcyap1,2,0521 AVPV-MEPO-SFO Tbr1 Glut_3,84,45,37,33,0.4404761904761904,0.7333333333333333,0.4404761904761904
Bdnf,2,0519 AVPV-MEPO-SFO Tbr1 Glut_1,98,22,28,9,0.2857142857142857,0.4090909090909091,0.2857142857142857
Bdnf,2,0522 AVPV-MEPO-SFO Tbr1 Glut_4,258,100,49,40,0.189922480620155,0.4,0.189922480620155
Esr1,2,0548 MPN-MPO-PVpo Hmx2 Glut_3,152,20,77,10,0.506578947368421,0.5,0.5
Esr1,2,0483 PVpo-VMPO-MPN Hmx2 Gaba_2,555,174,330,68,0.5945945945945946,0.3908045977011494,0.3908045977011494
Gabre,2,0411 PVR Six3 Sox3 Gaba_1,147,85,78,41,0.5306122448979592,0.4823529411764706,0.4823529411764706
Gabre,2,0522 AVPV-MEPO-SFO Tbr1 Glut_4,258,100,124,48,0.4806201550387597,0.48,0.48
Gal,2,0484 PVpo-VMPO-MPN Hmx2 Gaba_3,170,70,154,69,0.9058823529411764,0.9857142857142858,0.9058823529411764
Gal,2,0482 PVpo-VMPO-MPN Hmx2 Gaba_1,419,83,276,50,0.6587112171837709,0.6024096385542169,0.6024096385542169
Lepr,2,0520 AVPV-MEPO-SFO Tbr1 Glut_2,360,158,45,11,0.125,0.0696202531645569,0.0696202531645569
Lepr,2,0404 MPO-ADP Lhx8 Gaba_3,146,100,7,3,0.047945205479452,0.03,0.03
Ptger3,2,0520 AVPV-MEPO-SFO Tbr1 Glut_2,360,158,170,74,0.4722222222222222,0.4683544303797468,0.4683544303797468
Ptger3,2,0411 PVR Six3 Sox3 Gaba_1,147,85,41,29,0.2789115646258503,0.3411764705882353,0.2789115646258503
Samd3,2,0522 AVPV-MEPO-SFO Tbr1 Glut_4,258,100,109,44,0.4224806201550387,0.44,0.4224806201550387
Samd3,2,0520 AVPV-MEPO-SFO Tbr1 Glut_2,360,158,129,80,0.3583333333333333,0.5063291139240507,0.3583333333333333
Sntg2,2,0522 AVPV-MEPO-SFO Tbr1 Glut_4,258,100,77,26,0.2984496124031007,0.26,0.26
Sntg2,2,0399 SI-MPO-LPO Lhx8 Gaba_4,75,36,8,6,0.1066666666666666,0.1666666666666666,0.1066666666666666
